https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1642939200000,2022-01-23 12:00:00,AXS/USDT,53.5923569,53.5923569,53.5923569,53.5923569,0,0,0,0,0,0
1642935600000,2022-01-23 11:00:00,AXS/USDT,53.5923569,53.5923569,53.5923569,53.5923569,0,0,0,0,0,0
1642932000000,2022-01-23 10:00:00,AXS/USDT,53.5923569,53.5923569,53.5923569,53.5923569,113.13520555,2.11103247,0,0,0,0
1642928400000,2022-01-23 09:00:00,AXS/USDT,53.5923569,53.5923569,53.5923569,53.5923569,154.82657893,2.88896753,0,0,0,0
1642924800000,2022-01-23 08:00:00,AXS/USDT,52.27366696,53.07208947,52.27366696,53.07208947,167.89403322,3.16355533,0,0,0,0
1642921200000,2022-01-23 07:00:00,AXS/USDT,52.27366696,52.27366696,52.27366696,52.27366696,21.01861838,0.40208808,0,0,0,0
1642917600000,2022-01-23 06:00:00,AXS/USDT,51.68707597,51.68707597,51.68707597,51.68707597,0,0,0,0,0,0
1642914000000,2022-01-23 05:00:00,AXS/USDT,50.64765168,51.68707597,50.57415332,51.68707597,51.68707597,1,0,0,0,0
1642910400000,2022-01-23 04:00:00,AXS/USDT,50.64765168,50.64765168,50.57415332,50.57415332,0,0,0,0,0,0
1642906800000,2022-01-23 03:00:00,AXS/USDT,50.64765168,50.64765168,50.57415332,50.57415332,0,0,0,0,0,0
1642903200000,2022-01-23 02:00:00,AXS/USDT,50.64765168,50.64765168,50.57415332,50.57415332,0,0,0,0,0,0
1642899600000,2022-01-23 01:00:00,AXS/USDT,50.64765168,50.64765168,50.57415332,50.57415332,0,0,0,0,0,0
1642896000000,2022-01-23 00:00:00,AXS/USDT,50.64765168,50.64765168,50.57415332,50.57415332,0,0,0,0,0,0
1642892400000,2022-01-22 23:00:00,AXS/USDT,50.64765168,50.64765168,50.57415332,50.57415332,0,0,0,0,0,0
1642888800000,2022-01-22 22:00:00,AXS/USDT,50.64765168,50.64765168,50.57415332,50.57415332,0,0,0,0,0,0
1642885200000,2022-01-22 21:00:00,AXS/USDT,49.62403831,50.64765168,49.62403831,50.57415332,210.1096755,4.14966105,0,0,0,0
1642881600000,2022-01-22 20:00:00,AXS/USDT,49.62403831,50.49440237,49.62403831,50.49440237,183.01871693,3.63283555,0,0,0,0
1642878000000,2022-01-22 19:00:00,AXS/USDT,48.68896936,48.87298223,48.05899403,48.05899403,1444.07641876,30.02107542,0,0,0,0
1642874400000,2022-01-22 18:00:00,AXS/USDT,51.43488032,51.43488032,48.60201212,48.60201212,2394.6231688,49.2212697,0,0,0,0
1642870800000,2022-01-22 17:00:00,AXS/USDT,51.35678826,51.43488032,51.35678826,51.43488032,0,0,0,0,0,0
1642867200000,2022-01-22 16:00:00,AXS/USDT,49.69060573,52.35678826,49.69060573,51.43488032,728.69414468,14.16994395,0,0,0,0
1642863600000,2022-01-22 15:00:00,AXS/USDT,53.10015414,53.10015414,52.0444783,52.0444783,9.95874735,0.1913507,0,0,0,0
1642860000000,2022-01-22 14:00:00,AXS/USDT,53.10015414,53.10015414,53.10015414,53.10015414,53.10015414,1,0,0,0,0
1642856400000,2022-01-22 13:00:00,AXS/USDT,53.19247473,53.19247473,53.10031141,53.10031141,126.00825026,2.36894412,0,0,0,0
1642852800000,2022-01-22 12:00:00,AXS/USDT,51.98760537,51.98760537,51.98760537,51.98760537,7.35888609,0.14155078,0,0,0,0
1642849200000,2022-01-22 11:00:00,AXS/USDT,52.5127327,52.5127327,52.5127327,52.5127327,24.9611818,0.4753358,0,0,0,0
1642845600000,2022-01-22 10:00:00,AXS/USDT,50.4646755,52.3635538,48.60262165,52.3635538,486.83144609,9.84303414,0,0,0,0
1642842000000,2022-01-22 09:00:00,AXS/USDT,52.63362,52.63362,50.4646755,50.4646755,157.76848478,3.07174787,0,0,0,0
1642838400000,2022-01-22 08:00:00,AXS/USDT,52.63362,52.63362,52.2054,52.2054,0,0,0,0,0,0
1642834800000,2022-01-22 07:00:00,AXS/USDT,53.05334266,53.05334266,52.2054,52.2054,134.20897797,2.53114852,0,0,0,0
1642831200000,2022-01-22 06:00:00,AXS/USDT,54.30455212,55,53.05334266,54.23249718,3075.93086537,56.02378699,0,0,0,0
1642827600000,2022-01-22 05:00:00,AXS/USDT,56.78038109,56.78038109,54.30455212,54.30455212,87.04451353,1.57327747,0,0,0,0
1642824000000,2022-01-22 04:00:00,AXS/USDT,57.07275808,57.07275808,57,57,57,1,0,0,0,0
1642820400000,2022-01-22 03:00:00,AXS/USDT,58.5,58.5,57.05334266,57.05334266,23.57654563,0.41321556,0,0,0,0
1642816800000,2022-01-22 02:00:00,AXS/USDT,58.70270845,58.70270845,58.5,58.5,104.99870883,1.79455466,0,0,0,0
1642813200000,2022-01-22 01:00:00,AXS/USDT,58.02747523,58.17900435,58.02747523,58.17900435,761.07382508,13.08158903,0,0,0,0
1642809600000,2022-01-22 00:00:00,AXS/USDT,58.02747523,58.02747523,58.02747523,58.02747523,0,0,0,0,0,0
1642806000000,2022-01-21 23:00:00,AXS/USDT,57.07275808,58.02747523,57.07275808,58.02747523,762.29782523,13.13719574,0,0,0,0
1642802400000,2022-01-21 22:00:00,AXS/USDT,59.62802583,59.62802583,57.40360441,57.40360441,74.90696793,1.26495879,0,0,0,0
1642798800000,2022-01-21 21:00:00,AXS/USDT,63.27184443,63.27184443,58.42858588,59.62802583,2601.7679849,43.89812749,0,0,0,0
