https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1576713600000,2019-12-19 00:00:00,LSK/USDT,0.560811,0.58172694,0.46772694,0.46772694,6068.79503991,12364.0149528,0,0,0,0.49084339
1576627200000,2019-12-18 00:00:00,LSK/USDT,0.5398,0.560811,0.46628045,0.560811,133.27735135,262.29659889,0,0,0,0.50811696
1576540800000,2019-12-17 00:00:00,LSK/USDT,0.50101866,0.5240811,0.46203175,0.4620512,1018.53356981,2107.32872758,0,0,0,0.48332922
1576454400000,2019-12-16 00:00:00,LSK/USDT,0.57106999,0.62999999,0.540811,0.540811,1410.1807154,2547.33199132,0,0,0,0.55359125
1576368000000,2019-12-15 00:00:00,LSK/USDT,0.59000001,0.60094207,0.562,0.57499995,243.14889549,418.54769804,0,0,0,0.58093473
1576281600000,2019-12-14 00:00:00,LSK/USDT,0.61396407,0.68341599,0.59000001,0.63777308,1410.77437082,2319.12548031,0,0,0,0.6083217
1576195200000,2019-12-13 00:00:00,LSK/USDT,0.65143691,0.70575783,0.64068757,0.70551599,323.96379145,469.33301962,0,0,0,0.69026422
1576108800000,2019-12-12 00:00:00,LSK/USDT,0.6466666,0.656785,0.61396408,0.656785,3.14473775,4.93338886,0,0,0,0.63743966
1576022400000,2019-12-11 00:00:00,LSK/USDT,0.64888314,0.65679587,0.64888314,0.65679587,3.4435224,5.28208995,0,0,0,0.65192422
1575936000000,2019-12-10 00:00:00,LSK/USDT,0.65465496,0.67651383,0.61396407,0.62699984,547.19031468,856.23465892,0,0,0,0.63906583
1575849600000,2019-12-09 00:00:00,LSK/USDT,0.68001925,0.68001925,0.65460505,0.65460505,1253.18837408,1853.23421206,0,0,0,0.67621694
1575763200000,2019-12-08 00:00:00,LSK/USDT,0.68001925,0.71946399,0.68001925,0.68001925,638.92793158,937.90609229,0,0,0,0.68122804
1575676800000,2019-12-07 00:00:00,LSK/USDT,0.67690096,0.71981799,0.67690096,0.68001925,515.28433182,744.88503344,0,0,0,0.69176357
1575590400000,2019-12-06 00:00:00,LSK/USDT,0.7010359,0.719808,0.64978506,0.6900001,492.63745816,708.57708675,0,0,0,0.69524892
1575504000000,2019-12-05 00:00:00,LSK/USDT,0.67880146,0.7010359,0.67880146,0.7010359,125.5500415,179.61194175,0,0,0,0.6990072
1575417600000,2019-12-04 00:00:00,LSK/USDT,0.6556748,0.70098949,0.63884844,0.64540001,218.18510999,334.97002795,0,0,0,0.65135711
1575331200000,2019-12-03 00:00:00,LSK/USDT,0.66139244,0.706705,0.6556748,0.7010359,876.36023351,1294.59990828,0,0,0,0.67693518
1575244800000,2019-12-02 00:00:00,LSK/USDT,0.67073955,0.67073955,0.654844,0.654844,198.042755,300,0,0,0,0.66014251
1575158400000,2019-12-01 00:00:00,LSK/USDT,0.68131338,0.73427628,0.65811041,0.71424599,493.13020413,721.82692164,0,0,0,0.68316959
1575072000000,2019-11-30 00:00:00,LSK/USDT,0.69999999,0.7342763,0.675,0.7342763,3381.11386794,4831.19534162,0,0,0,0.69985037
1574985600000,2019-11-29 00:00:00,LSK/USDT,0.69499887,0.7,0.67492147,0.7,5365.79478657,7668.28915676,0,0,0,0.69973819
1574899200000,2019-11-28 00:00:00,LSK/USDT,0.67554964,0.69623179,0.67471888,0.69427491,118.94713597,175.96113064,0,0,0,0.67598529
1574812800000,2019-11-27 00:00:00,LSK/USDT,0.63050554,0.6962318,0.61560743,0.69491724,838.17754347,1291.82962829,0,0,0,0.64882978
1574726400000,2019-11-26 00:00:00,LSK/USDT,0.690536,0.70500125,0.6305053,0.6305053,185.79121802,280.64643723,0,0,0,0.66201167
1574640000000,2019-11-25 00:00:00,LSK/USDT,0.6472123,0.67968706,0.61396407,0.654012,338.38673037,529.96546393,0,0,0,0.63850713
1574553600000,2019-11-24 00:00:00,LSK/USDT,0.69621676,0.69621677,0.646184,0.6472123,417.3671441,639.47443412,0,0,0,0.65267213
1574467200000,2019-11-23 00:00:00,LSK/USDT,0.67944572,0.70459944,0.67944572,0.70459944,24.96794279,35.54357582,0,0,0,0.70246007
1574380800000,2019-11-22 00:00:00,LSK/USDT,0.71,0.72081093,0.63438269,0.70459943,785.14470679,1124.71523829,0,0,0,0.6980831
1574294400000,2019-11-21 00:00:00,LSK/USDT,0.767273,0.76739354,0.65000015,0.65000015,935.15087122,1301.35506297,0,0,0,0.71859778
1574208000000,2019-11-20 00:00:00,LSK/USDT,0.75436275,0.77998,0.72996042,0.751,489.60454608,650.52116076,0,0,0,0.75263431
1574121600000,2019-11-19 00:00:00,LSK/USDT,0.8,0.848,0.74999999,0.75623879,2942.90444972,3654.80561228,0,0,0,0.80521504
1574035200000,2019-11-18 00:00:00,LSK/USDT,0.7825,0.86000045,0.76185117,0.83,4338.59604968,5198.92795038,0,0,0,0.83451744
1573948800000,2019-11-17 00:00:00,LSK/USDT,0.7799,0.79456107,0.77307431,0.7825,293.85116925,375.51112783,0,0,0,0.78253651
1573862400000,2019-11-16 00:00:00,LSK/USDT,0.74689358,0.79415916,0.74368464,0.78651129,841.97055153,1092.08042704,0,0,0,0.77097852
1573776000000,2019-11-15 00:00:00,LSK/USDT,0.77757477,0.77757477,0.74759988,0.74834748,1290.95402543,1721.62364756,0,0,0,0.74984682
1573689600000,2019-11-14 00:00:00,LSK/USDT,0.74501943,0.77599889,0.7429417,0.77599889,731.96961915,950.39124497,0,0,0,0.77017714
1573603200000,2019-11-13 00:00:00,LSK/USDT,0.75075001,0.77,0.7436847,0.75999999,471.31336833,624.73294802,0,0,0,0.75442374
1573516800000,2019-11-12 00:00:00,LSK/USDT,0.75175001,0.77679799,0.7429417,0.75075002,748.20957718,989.21752897,0,0,0,0.75636506
1573430400000,2019-11-11 00:00:00,LSK/USDT,0.78860692,0.78967998,0.75,0.77424389,147.91598649,195.59895754,0,0,0,0.75622073
1573344000000,2019-11-10 00:00:00,LSK/USDT,0.75796871,0.78936259,0.75,0.78,1017.00679716,1339.85823868,0,0,0,0.75904059
1573257600000,2019-11-09 00:00:00,LSK/USDT,0.80356159,0.83,0.74929416,0.75095513,406.26846469,512.88261571,0,0,0,0.79212757
1573171200000,2019-11-08 00:00:00,LSK/USDT,0.7858781,0.8174665,0.75473541,0.75473541,571.8046592,720.88153043,0,0,0,0.79320198
1573084800000,2019-11-07 00:00:00,LSK/USDT,0.8194167,0.82,0.78509483,0.7861373,624.90224368,783.23883535,0,0,0,0.79784379
1572998400000,2019-11-06 00:00:00,LSK/USDT,0.79551165,0.82,0.78159674,0.82,2394.25614135,3037.71845219,0,0,0,0.78817579
